ind_id	new_id	tax_id	lat	long	alt	t_cap	com_nm	alpha	genus	spp	sub_spp	spp_lat	alpha6	ind_id2	sex	pos_sex	age_clas	age_yr	mass	fat	inc	latency	cort	count_ss	year	doy	season	brd_stg	pos_lh_stg	lh_stg
1000001	2380	ABTO2380	33.52837	-112.0763	340	521	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	1	f				45	1		1.5	3.9	4	1988	361				
1000002	2381	ABTO2381	33.52837	-112.0763	340	585	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	2	m					2		1.166666667	1.5	5	1988	361	non-breeding	non-breeding		
1000012	2382	ABTO2382	33.52837	-112.0763	340	530	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	3	f				44.5	2.5		1.5	2.9	4	1988	362				
1000013	2383	ABTO2383	33.52837	-112.0763	340	570	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	5	m				44.5	2.5		1	2.6	5	1988	362	non-breeding	non-breeding		
1000014	2384	ABTO2384	33.52837	-112.0763	340	568	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	4	f				45	1		1.5	3.2	4	1988	362				
1000015	2385	ABTO2385	33.52837	-112.0763	340	748	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	6	m					0		0.5	3.7	5	1988	362	non-breeding	non-breeding		
1000022	2386	ABTO2386	33.52837	-112.0763	340	532	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	7	m					2.5		2	6.8	5	1988	366	non-breeding	non-breeding		
1000068	2387	ABTO2387	33.52837	-112.0763	340	670	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-13	f				44	2.5		2	5.3	5	1989	214		breeding		breeding
1000113	2388	ABTO2388	33.52837	-112.0763	340	536	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	8	m					0.5		3	11.9	5	1989	1	non-breeding	non-breeding		
1000114	2389	ABTO2389	33.52837	-112.0763	340	769	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	9	f					2		1	7	5	1989	1				
1000132	2390	ABTO2390	33.52837	-112.0763	340	727	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	10	f					1.5		1.5	4.1	5	1989	1				
1000142	2391	ABTO2391	33.52837	-112.0763	340	631	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	11	f					2		1.33	17.8	5	1989	1				
1000175	2392	ABTO2392	33.52837	-112.0763	340	399	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-1	f				41	0.5		1.5	9.4	5	1989	204				
1000176	2393	ABTO2393	33.52837	-112.0763	340	402	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-2	f				42	1		1.5	14.1	5	1989	204				
1000177	2394	ABTO2394	33.52837	-112.0763	340	511	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-4	m		AHY		43	0		1	6.7	5	1989	204	breeding			
1000178	2395	ABTO2395	33.52837	-112.0763	340	430	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-3	m		HY		46	0		1.33	5.3	5	1989	204	breeding			
