ind_id	new_id	tax_id	lat	long	alt	t_cap	com_nm	alpha	genus	spp	sub_spp	spp_lat	alpha6	ind_id2	sex	pos_sex	age_clas	age_yr	mass	fat	inc	tb1	tb2	tb3	tb4	tb5	tb6	tb7	cort1	cort2	cort3	cort4	cort5	cort6	cort7	count_ss	year	doy	season	brd_stg	pos_lh_stg	lh_stg
1000001	2380	ABTO2380	33.52837	-112.0763	340	521	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	1	f				45	1		1.5	5	10	60				3.9	10	12.8	35.7				4	1988	361				
1000002	2381	ABTO2381	33.52837	-112.0763	340	585	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	2	m					2		1.166666667	5	10	30	60			1.5	4.9	8.3	21	24.9			5	1988	361	non-breeding	non-breeding		
1000012	2382	ABTO2382	33.52837	-112.0763	340	530	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	3	f				44.5	2.5		1.5	10	30	60				2.9	16.2	25.8	55.6				4	1988	362				
1000013	2383	ABTO2383	33.52837	-112.0763	340	570	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	5	m				44.5	2.5		1	5	10	30	60			2.6	3.7	13.9	25.6	22.8			5	1988	362	non-breeding	non-breeding		
1000014	2384	ABTO2384	33.52837	-112.0763	340	568	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	4	f				45	1		1.5	5	10	60				3.2	5.5	12.5	27.6				4	1988	362				
1000015	2385	ABTO2385	33.52837	-112.0763	340	748	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	6	m					0		0.5	5	10	30	60			3.7	5.8	10.5	20.9	24.8			5	1988	362	non-breeding	non-breeding		
1000022	2386	ABTO2386	33.52837	-112.0763	340	532	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	7	m					2.5		2	5	10	30	60			6.8	9.2	14.1	24.8	34.5			5	1988	366	non-breeding	non-breeding		
1000068	2387	ABTO2387	33.52837	-112.0763	340	670	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-13	f				44	2.5		2	5	10	30	60			5.3	6.7	14.1	27.1	35			5	1989	214		breeding		breeding
1000113	2388	ABTO2388	33.52837	-112.0763	340	536	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	8	m					0.5		3	5	10	30	60			11.9	14.7	20	32.7	32.5			5	1989	1	non-breeding	non-breeding		
1000114	2389	ABTO2389	33.52837	-112.0763	340	769	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	9	f					2		1	5	10	30	60			7	8	15.6	44.8	46.5			5	1989	1				
1000132	2390	ABTO2390	33.52837	-112.0763	340	727	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	10	f					1.5		1.5	5	10	30	60			4.1	21.6	24	46.1	62.7			5	1989	1				
1000142	2391	ABTO2391	33.52837	-112.0763	340	631	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	11	f					2		1.33	5	10	30	60			17.8	20.6	20	28.7	36			5	1989	1				
1000175	2392	ABTO2392	33.52837	-112.0763	340	399	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-1	f				41	0.5		1.5	5	10	30	60			9.4	11.3	16.7	21.2	31.7			5	1989	204				
1000176	2393	ABTO2393	33.52837	-112.0763	340	402	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-2	f				42	1		1.5	5	10	30	60			14.1	11	9.6	30.1	28.7			5	1989	204				
1000177	2394	ABTO2394	33.52837	-112.0763	340	511	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-4	m		AHY		43	0		1	5	10	30	60			6.7	12.4	14.7	28.6	35.6			5	1989	204	breeding			
1000178	2395	ABTO2395	33.52837	-112.0763	340	430	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-3	m		HY		46	0		1.33	5	10	30	60			5.3	11.6	14.9	39.1	37.9			5	1989	204	breeding			
1000182	2396	ABTO2396	33.52837	-112.0763	340	405	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-5	f				46.5	2		1	5	10	30	60			5.8	11.1	12.9	18.8	21.7			5	1989	205		breeding		breeding
1000188	2397	ABTO2397	33.52837	-112.0763	340	1031	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-6a	m				49	1		2	5	10	30	60			1.3	8.3	7	20.7	38.2			5	1989	206	breeding			
1000200	2398	ABTO2398	33.52837	-112.0763	340	567	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-6b	m				50	1		1.5	5	10	30	60			2.7	2	7.3	11.6	22.7			5	1989	208	breeding	breeding		
1000208	2399	ABTO2399	33.52837	-112.0763	340	475	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-9	m				45	0.5		2	5	10	30				1.1	2.4	12.1	24.5				4	1989	209	breeding	breeding		breeding
1000209	2400	ABTO2400	33.52837	-112.0763	340	453	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-8	f				47	1.5		1.33	5	10	30	60			0.9	3	1.5	13.9	16.1			5	1989	209		breeding		breeding
1000210	2401	ABTO2401	33.52837	-112.0763	340	1037	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-7	m				48	0		2	5	10	30	60			5.9	8.2	4.8	27.8	37.7			5	1989	209	breeding	breeding		
1000215	2402	ABTO2402	33.52837	-112.0763	340	864	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-10	f				45	1.5		1	5	10	30	60			7.8	7.7	6.3	16.1	27.7			5	1989	211		breeding		breeding
1000220	2403	ABTO2403	33.52837	-112.0763	340	458	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-11	m				48	1		1.83	5	10	30	60			11.1	7.9	12.3	12.5	32.3			5	1989	212	breeding	breeding	breeding	
1000221	2404	ABTO2404	33.52837	-112.0763	340	938	Abert's Towhee	ABTO	Pipilo	aberti		Pipilo aberti 	PIPABE	ABTO-12	m							1.5	5	10	30	60			4.5	10.1	1.3	14.1	15.4			5	1989	212	breeding			
1001876	1547	AMGO1547	47.742	-122.984	34.13767	628	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-3	m				15.1	0		1	5	20	60				10.1	23.5	30.9	38.7				4	1996	187				possibly breeding
1001877	1548	AMGO1548	47.742	-122.984	34.13767	601	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-1	m				15.3	0		1	5	20	60				4.7	17.8	14.2	32.1				4	1996	187				possibly breeding
1001878	1549	AMGO1549	47.742	-122.984	34.13767	662	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-4	m				15.5	0.5		1	5	20					7.4	12.1	11.03					3	1996	187				possibly breeding
1001879	1550	AMGO1550	47.742	-122.984	34.13767	721	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-5	f				15.6	0.5		1	5	20	60				22.2	17.4	18.7	19.4				4	1996	187		breeding		breeding
1001880	1551	AMGO1551	47.742	-122.984	34.13767	925	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	9	f				15.7	1		1	5	20	60				6.2	18.4	12.2	15.3				4	1996	187		breeding		breeding
1001881	1552	AMGO1552	47.742	-122.984	34.13767	608	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-2	m				15.7	0		1	5	20	60				6.4	11.8	18.7	13.3				4	1996	187				possibly breeding
1001882	1553	AMGO1553	47.742	-122.984	34.13767	790	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-7	f				15.7	0		1	5	20	60				9.2	12.3	18.8	10				4	1996	187		breeding		breeding
1001883	1554	AMGO1554	47.742	-122.984	34.13767	782	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-6	f				16	0		1	5	20	60				12.8	10.8	14.9	26.6				4	1996	187		breeding		breeding
1001884	1555	AMGO1555	47.742	-122.984	34.13767	927	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	10	f				16.7	0.5		1	5	20	60				21.5	22	31.9	34.5				4	1996	187		breeding		breeding
1001885	1556	AMGO1556	47.742	-122.984	34.13767	797	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	8	f				17.5	0.5		1	5	20	60				8.6	13.4	10.7	11.7				4	1996	187		breeding		breeding
1001903	1557	AMGO1557	47.742	-122.984	34.13767	589	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-2	m				12.8	0.5		2	5	20	60				32	33.2	108.2	107.9				4	1996	171		pre-breeding		pre-breeding
1001904	1558	AMGO1558	47.742	-122.984	34.13767	589	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-1	m				13.1	1		2	5	20	60				42.53	17.8	37.2	50.1				4	1996	171		pre-breeding		pre-breeding
1001918	1559	AMGO1559	47.742	-122.984	34.13767	865	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-7	m				11.2	1		2	5	20	60				13.7	32.6	23.7	16.5				4	1996	173		pre-breeding		pre-breeding
1001919	1560	AMGO1560	47.742	-122.984	34.13767	865	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-6	m				12.6	0.5		1	5	20	60				13.6	13.8	24.6	42.7				4	1996	173		pre-breeding		pre-breeding
1001920	1561	AMGO1561	47.742	-122.984	34.13767	727	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-5	m				12.8	1.5		2	5	20	60				8.6	19.6	19.5	35.9				4	1996	173		pre-breeding		pre-breeding
1001921	1562	AMGO1562	47.742	-122.984	34.13767	576	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-3	m				13.1	0		2	5	20	60				12.3	20.5	15.4	16.3				4	1996	173		pre-breeding		pre-breeding
1001922	1563	AMGO1563	47.742	-122.984	34.13767	586	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-4	m				13.4	1.5		1.5	5	20	60				7.4	18.9	21.7	31.9				4	1996	173		pre-breeding		pre-breeding
1002218	1564	AMGO1564	47.742	-122.984	34.13767	617	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-01	m				12	0.5		1	5	20	60				4.9	16.7	53.1	28				4	1997	127		pre-breeding		pre-breeding
1002219	1565	AMGO1565	47.742	-122.984	34.13767	654	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-02	m				12.5	0		2	5	20	60				6.1	6.9	20	12.8				4	1997	127		pre-breeding		pre-breeding
1002220	1566	AMGO1566	47.742	-122.984	34.13767	666	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-04	f				12.6	1		1.5	5	20	60				9	11.8	11.9	21.6				4	1997	127		pre-breeding		pre-breeding
1002221	1567	AMGO1567	47.742	-122.984	34.13767	708	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-06	m				12.6	1.5		1	5	20	60				6.9	17.6	15.1	12.5				4	1997	127		pre-breeding		pre-breeding
1002222	1568	AMGO1568	47.742	-122.984	34.13767	666	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-03	m				13	3		1	5	20	60				3.9	22.8	26.6	23.2				4	1997	127		pre-breeding		pre-breeding
1002223	1569	AMGO1569	47.742	-122.984	34.13767	666	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-05	m				14.5	0		1	5	20	60				6.8	22.8	16.3	32.7				4	1997	127		pre-breeding		pre-breeding
1002225	1570	AMGO1570	47.742	-122.984	34.13767	617	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-07	m				8.3	0.5		1	5	20	60				12.6	13.2	65.5	49				4	1997	129		pre-breeding		pre-breeding
1002226	1571	AMGO1571	47.742	-122.984	34.13767	703	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-10	m				9.7	2		1	5	20	60				7.2	30.3	25.4	22				4	1997	129		pre-breeding		pre-breeding
